state_name_full,median_income,year,population
Alabama,55935,2020,NAN
Arkansas,54322,2020,NAN
Delaware,74051,2020,NAN
District of Columbia,93000,2020,NAN
Florida,58150,2020,NAN
Georgia,56480,2020,NAN
Kentucky,55520,2020,NAN
Louisiana,51760,2020,NAN
Maryland,95310,2020,NAN
Mississippi,44092,2020,NAN
North Carolina,60300,2020,NAN
Oklahoma,59303,2020,NAN
South Carolina,61476,2020,NAN
Tennessee,56615,2020,NAN
Texas,67280,2020,NAN
Virginia,81000,2020,NAN
West Virginia,53520,2020,NAN
Alabama,49396,2019,4903185
Arkansas,49778,2019,3017804
Delaware,65002,2019,973764
District of Columbia,85101,2019,705749
Florida,54401,2019,21477737
Georgia,56000,2019,10617423
Kentucky,54616,2019,4467673
Louisiana,49665,2019,4648794
Maryland,86051,2019,6045680
Mississippi,43000,2019,2976149
North Carolina,52943,2019,10488084
Oklahoma,54005,2019,3956971
South Carolina,57090,2019,5148714
Tennessee,55601,2019,6829174
Texas,59703,2019,28995881
Virginia,76786,2019,8535519
West Virginia,50180,2019,1792147
Alabama,49861,2018,4887681
Arkansas,47062,2018,3009733
Delaware,64805,2018,965479
District of Columbia,85203,2018,701547
Florida,55462,2018,21244317
Georgia,58756,2018,10511131
Kentucky,50247,2018,4461153
Louisiana,47905,2018,4659690
Maryland,83242,2018,6035802
Mississippi,44717,2018,2981020
North Carolina,53855,2018,10381615
Oklahoma,51924,2018,3940235
South Carolina,52306,2018,5084156
Tennessee,52375,2018,6771631
Texas,60629,2018,28628666
Virginia,72577,2018,8501286
West Virginia,44097,2018,1804291
Alabama,48123,2017,4874486
Arkansas,45869,2017,3001345
Delaware,62852,2017,956823
District of Columbia,82372,2017,694906
Florida,52594,2017,20963613
Georgia,56183,2017,10410330
Kentucky,48375,2017,4452268
Louisiana,46145,2017,4670560
Maryland,80776,2017,6023868
Mississippi,43529,2017,2988510
North Carolina,52752,2017,10268233
Oklahoma,50051,2017,3931316
South Carolina,50570,2017,5021268
Tennessee,51340,2017,6708799
Texas,59206,2017,28295273
Virginia,71535,2017,8463587
West Virginia,43469,2017,1817004
Alabama,46257,2016,4863525
Arkansas,45869,2016,2989918
Delaware,62852,2016,948921
District of Columbia,75506,2016,685815
Florida,50860,2016,20613477
Georgia,53559,2016,10301890
Kentucky,46659,2016,4438182
Louisiana,45146,2016,4678135
Maryland,78945,2016,6003323
Mississippi,41754,2016,2987938
North Carolina,50584,2016,10154788
Oklahoma,49176,2016,3926331
South Carolina,49501,2016,4957968
Tennessee,48547,2016,6646010
Texas,56565,2016,27914410
Virginia,68114,2016,8410106
West Virginia,43385,2016,1831023